sp,CollectionCode,Subsample,SpecimenCode,CL,PoOC,PrAC,ClyL,CWB,Cweye,FR,TCD,GPD,SL,MW,PEW,MPD,ML,MPH,NOH,HTL,EL,OMD
christi,BLF15056,,CASENT0119593,1.36,0.42,0.63,0.38,1.01,0.97,0.38,0.27,0.55,1.91,0.87,0.3,1.54,2.2,0.84,0.27,1.77,0.31,0.61
christi,BLF15482,,CASENT0122823,1.22,0.36,0.56,0.32,0.88,0.86,0.35,0.23,0.52,1.78,0.79,0.25,1.32,1.97,0.71,0.21,1.59,0.26,0.57
christi,BLF24461,,CASENT0162707,1.12,0.34,0.51,0.32,0.84,0.82,0.33,0.24,0.46,1.69,0.74,0.25,1.25,1.85,0.67,0.23,1.57,0.25,0.49
christi,BLF26969,,CASENT0231111,1.27,0.35,0.59,0.36,0.9,0.88,0.35,0.24,0.49,1.84,0.81,0.27,1.36,2.03,0.75,0.22,1.71,0.28,0.55
christi,BLF27815,,CASENT0271294,1.11,0.33,0.53,0.33,0.84,0.82,0.33,0.22,0.47,1.64,0.7,0.27,1.22,1.83,0.66,0.22,1.56,0.26,0.47
christi,BLF28323,,CASENT0275811,1.33,0.41,0.64,0.38,1.02,0.96,0.38,0.28,0.57,1.89,0.85,0.34,1.58,2.21,0.84,0.28,1.74,0.33,0.6
christi,MG-27-21,,CASENT0265387,1.26,0.38,0.56,0.32,0.95,0.93,0.35,0.21,0.5,1.72,0.83,0.3,1.35,1.96,0.76,0.22,1.71,0.3,0.54
concolor,BLF00941,,CASENT0191701,1.55,0.34,0.78,0.44,1.11,1.17,0.46,0.37,0.64,1.73,1.04,0.49,1.69,2.38,1.22,0.46,1.94,0.42,0.66
concolor,BLF02370,,CASENT0406983,1.62,0.36,0.76,0.46,1.26,1.3,0.52,0.43,0.71,1.9,1.13,0.58,1.84,2.6,1.26,0.49,2.16,0.45,0.71
concolor,BLF02398,,CASENT0406985,1.65,0.36,0.82,0.5,1.22,1.25,0.52,0.39,0.72,1.83,1.09,0.53,1.7,2.5,1.25,0.46,2.08,0.44,0.71
concolor,BLF02471,,CASENT0406989,1.58,0.36,0.74,0.46,1.19,1.23,0.48,0.38,0.66,1.8,1.03,0.51,1.89,2.42,1.28,0.48,2.02,0.44,0.66
concolor,BLF02471,,CASENT0406990,1.64,0.38,0.78,0.48,1.24,1.28,0.49,0.38,0.7,1.85,1.16,0.54,1.74,2.61,1.28,0.49,2.06,0.45,0.62
concolor,BLF02471,,CASENT0406993,1.71,0.38,0.87,0.51,1.26,1.3,0.53,0.42,0.73,1.91,1.2,0.56,1.71,2.65,1.29,0.51,2.17,0.46,0.72
concolor,BLF08011,,CASENT0049892,1.81,0.44,0.88,0.48,1.37,1.35,0.57,0.45,0.77,1.97,1.21,0.61,1.83,2.76,1.49,0.48,2.34,0.46,0.73
concolor,BLF40221,,CASENT0849757,1.55,0.38,0.75,0.44,1.17,1.2,0.47,0.37,0.69,1.67,1.04,0.51,1.75,2.42,1.22,0.4,1.94,0.42,0.64
concolor,MG-09B-60,,CASENT0114646,1.82,0.4,0.91,0.52,1.41,1.39,0.56,0.45,0.78,2,1.22,0.65,1.87,2.89,1.41,0.5,2.25,0.52,0.67
concolor,MG-22A-04,,CASENT0108883,1.88,0.49,0.95,0.52,1.43,1.4,0.56,0.46,0.7,2,1.23,0.65,1.87,2.87,1.42,0.52,2.24,0.51,0.68
concolor,MG-27-25,,CASENT0111420,1.52,0.36,0.76,0.44,1.11,1.19,0.48,0.38,0.66,1.7,1.04,0.48,1.65,2.41,1.17,0.41,1.98,0.41,0.65
concolor,BLF03691,,CASENT0451554,1.54,0.33,0.76,0.44,1.13,1.2,0.48,0.4,0.67,1.76,1.07,0.48,1.58,2.4,1.15,0.42,2.03,0.44,
heteroclitus,ANTC2770,,CASENT0094746,1.85,0.47,0.97,0.49,1.72,1.68,0.66,0.46,0.79,2.03,1.6,0.77,1.55,2.92,1.16,0.38,2.01,0.41,0.93
heteroclitus,BLF00487,,CASENT0188230,1.93,0.58,0.95,0.54,1.81,1.71,0.68,0.48,0.81,2.12,1.64,0.8,1.63,3.13,1.18,0.36,2.16,0.41,0.87
heteroclitus,BLF05156,,CASENT0456235,1.84,0.56,0.88,0.46,1.68,1.64,0.65,0.46,0.77,2.02,1.57,0.71,1.58,2.98,1.18,0.34,2,0.4,0.7
heteroclitus,BLF05176,,CASENT0455995,1.67,0.49,0.8,0.4,1.46,1.45,0.62,0.4,0.7,1.77,1.37,0.6,1.34,2.64,1,0.24,1.81,0.36,0.76
heteroclitus,BLF05181,,CASENT0455962,1.5,0.44,0.7,0.37,1.33,1.31,0.54,0.36,0.66,1.65,1.36,0.57,1.4,2.43,0.9,0.24,1.61,0.32,0.64
heteroclitus,BLF05235,,CASENT0003902,1.47,0.42,0.68,0.37,1.31,1.3,0.55,0.37,0.66,1.59,1.27,0.53,1.36,2.36,0.9,0.2,1.62,0.34,0.61
heteroclitus,BLF08170,,CASENT0497800,2,0.61,0.94,0.53,1.82,1.77,0.74,0.48,0.86,2.14,1.65,0.82,1.78,3.13,1.22,0.34,2.29,0.44,0.86
heteroclitus,BLF13639,,CASENT0067624,2,0.57,1,0.54,1.81,1.73,0.69,0.49,0.85,2.15,1.65,0.8,1.65,3.17,1.22,0.36,2.22,0.41,0.89
heteroclitus,BLF15578,,CASENT0121996,1.69,0.47,0.86,0.43,1.48,1.45,0.6,0.41,0.72,1.84,1.37,0.62,1.45,2.68,1.01,0.28,1.78,0.4,0.7
heteroclitus,BLF19180,,CASENT0134297,1.94,0.59,0.91,0.5,1.75,1.68,0.66,0.46,0.81,2.04,1.61,0.79,1.69,2.95,1.18,0.36,2.05,0.41,0.77
